"[0] BooksTitleJaccardComparator","[1] BooksISBNComparator","[2] BookPublicationDateComparator","[3] BooksAuthorsComparator","finalValue","isMatch","label"
"0.0","0.0","0.0","0.0","0.0","false","0"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"1.0","0.0","0.0","1.0","0.2","false","1"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.14285714285714285","0.0","0.0","0.0","0.014285714285714285","false","0"
"0.1","0.0","0.0","0.0","0.010000000000000002","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","1.0","0.0","0.1","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"1.0","0.0","0.0","1.0","0.2","false","1"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"0.2","0.0","0.0","0.0","0.020000000000000004","false","0"
"1.0","0.0","0.0","1.0","0.2","false","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"1.0","0.0","0.0","1.0","0.2","false","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"1.0","0.0","0.0","1.0","0.2","false","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.16666666666666666","0.0","0.0","0.0","0.016666666666666666","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.25","0.0","0.0","0.0","0.025","false","0"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.2","0.0","0.0","0.0","0.020000000000000004","false","0"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.15384615384615385","0.0","1.0","0.0","0.11538461538461539","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.125","0.0","0.0","0.0","0.0125","false","0"
"0.125","0.0","0.0","0.0","0.0125","false","0"
"0.1111111111111111","0.0","0.0","0.0","0.011111111111111112","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"0.1","0.0","0.0","0.0","0.010000000000000002","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"0.14285714285714285","0.0","0.0","0.0","0.014285714285714285","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.07142857142857142","0.0","0.0","0.0","0.007142857142857143","false","0"
"1.0","0.0","0.0","1.0","0.2","false","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.1111111111111111","0.0","0.0","0.0","0.011111111111111112","false","0"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","1.0","0.0","0.1","false","0"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"0.2","1.0","0.0","0.0","0.72","true","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.0","0.0","0.0","0.0","0.0","false","0"
"0.75","1.0","0.0","1.0","0.8749999999999999","true","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"0.0","0.0","0.0","0.0","0.0","false","0"
"1.0","1.0","0.0","1.0","0.8999999999999999","true","1"
"0.16666666666666666","0.0","0.0","0.0","0.016666666666666666","false","0"
"0.1","1.0","0.0","1.0","0.8099999999999999","true","1"
